,id,Tanggal_Order,Waktu_Pesan,Nama_Pemesan,No_Resi,Produk,Kategori,Jumlah_Pesanan,Harga,Diskon,Total_Harga,Profit,Kota_Pengiriman - Media Pemesanan,Admin_Proses,Ekspedisi,Rating
600,601,2018/01/06,23:22:28,Orren Stiffkins,57691-113,Oversized T-Shirt,,14.0,,34.0,,,Bali - FB Marketplace,Wanokuni,POS Indonesia,4.0
601,602,2018/01/06,11:10:55,Marisa Seamarke,34666-021,T-Shirt,,25.0,,30.0,,,Yogyakarta - Tiktok,Jeff,Tiki,5.0
602,603,2018/01/04,21:33:58,Reece Tetley,52125-777,Oversized T-Shirt,,23.0,,32.0,,,Semarang - Tiktok,Mark,JNE,1.0
603,604,2018/01/20,10:02:14,Swen Bradneck,63354-951,T-Shirt,,,,5.0,,,Bogor - Shopee,Jeff,Shopee Express,1.0
604,605,2018/01/27,20:24:11,Olav Summers,17856-0949,Oversized T-Shirt,,7.0,,,,,Semarang - Website,Wanokuni,JNT,3.0
605,606,2018/01/24,1:25:21,Amabel McKendo,49288-0791,T-Shirt,,6.0,,,,,Semarang - Lazada,Abraham,Wahana,
606,607,2018/01/17,12:21:50,Blisse Perrottet,0409-0212,T-Shirt,,25.0,,10.0,,,Semarang - Instagram,Rizal,POS Indonesia,1.0
607,608,2018/01/24,6:46:40,Clemens Wackley,67296-0466,Oversized T-Shirt,,9.0,,22.0,,,Yogyakarta - Lazada,Abraham,SiCepat,3.0
608,609,2018/01/17,23:28:47,Leland Galer,33342-034,,,10.0,,31.0,,,Yogyakarta - Tokopedia,Nami,Wahana,1.0
609,610,2018/01/25,23:18:51,Mandi Dmytryk,0904-6189,Sweater,,10.0,,,,,Depok - Tokopedia,Jeff,POS Indonesia,2.0
610,611,2018/01/20,9:57:42,Steve Clack,63162-520,T-Shirt,,,,,,,Bogor - Whatsapp,Elon,Shopee Express,2.0
611,612,2018/01/22,4:54:50,Helenelizabeth Brewster,0078-0408,Cargo Pants,,11.0,,18.0,,,,Nami,,1.0
612,613,2018/01/26,22:31:53,Caitlin Breit,31720-203,T-Shirt,,5.0,,,,,Bogor - Shopee,Elon,SiCepat,2.0
613,614,2018/01/29,12:42:19,Kandy Whorton,21695-085,T-Shirt,,14.0,,12.0,,,Bandung - Tokopedia,Nami,JNE,4.0
614,615,2018/01/19,9:15:25,Nama Customer,24385-546,Sweater,,1.0,,,,,Bali - Shopee,Elon,SiCepat,5.0
615,616,2018/01/22,14:16:34,Rasia Stooke,51514-0320,Mug,,23.0,,,,,Tangerang - Shopee,Elon,Tiki,1.0
616,617,2018/01/12,11:27:17,Jori Fearfull,65044-5100,Oversized T-Shirt,,13.0,,,,,Yogyakarta - Instagram,Jeff,Tiki,
617,618,2018/01/05,14:46:26,Orren Stiffkins,0378-2042,Cargo Pants,,19.0,,,,,Bandung - Tiktok,Nami,POS Indonesia,2.0
618,619,2018/01/13,22:37:04,Giselle Girtin,55312-604,,,6.0,,,,,Yogyakarta - Tokopedia,Nami,JNT,4.0
619,620,2018/01/11,11:46:50,Ken Hadden,59779-491,Cargo Pants,,23.0,,,,,Bogor - Whatsapp,Nami,JNE,2.0
620,621,2018/01/10,1:46:55,Kinny Winks,48951-1199,Oversized T-Shirt,,20.0,,19.0,,,Yogyakarta - Tiktok,Abraham,Tiki,3.0
621,622,2018/01/10,2:01:55,Jazmin Spirritt,0169-7708,T-Shirt,,1.0,,21.0,,,,Elon,JNE,5.0
622,623,2018/01/30,23:48:55,Paton Goney,49725-926,T-Shirt,,20.0,,,,,Bali - Shopee,Rizal,Tiki,1.0
623,624,2018/01/14,1:39:02,Wilow Yourell,52125-744,Cargo Pants,,3.0,,,,,Semarang - Tiktok,Nami,SiCepat,5.0
624,625,2018/01/27,6:27:46,Carina Nund,36987-2316,Oversized T-Shirt,,22.0,,,,,Bali - Shopee,Mark,Wahana,2.0
625,626,2018/01/25,23:25:55,Joellen Corzor,42719-345,Oversized T-Shirt,,13.0,,21.0,,,Tangerang - Website,Elon,,1.0
626,627,2018/01/30,23:07:49,Carlye Graeser,0093-3129,Sweater,,25.0,,,,,Yogyakarta - Shopee,Abraham,Shopee Express,1.0
627,628,2018/01/03,23:37:57,Vernen Tal,0037-5020,Oversized T-Shirt,,2.0,,16.0,,,Yogyakarta - Shopee,Nami,POS Indonesia,4.0
628,629,2018/01/03,17:20:15,Keslie McCurrie,62750-059,Oversized T-Shirt,,4.0,,,,,Semarang - Tokopedia,Jeff,SiCepat,5.0
629,630,2018/01/02,15:21:39,Gregoor Gooms,60258-866,Sweater,,12.0,,6.0,,,Semarang - Instagram,Elon,Tiki,1.0
630,631,2018/01/08,13:19:18,Emma Lismore,11523-7190,,,18.0,,,,,Jakarta - FB Marketplace,Mark,,3.0
631,632,2018/01/12,1:00:09,Libbi Rainforth,54868-5326,T-Shirt,,7.0,,10.0,,,Bogor - Website,Elon,SiCepat,5.0
632,633,2018/01/07,4:09:04,Thorvald Rawstron,50436-6304,T-Shirt,,,,10.0,,,Depok - Tiktok,Wanokuni,JNE,5.0
633,634,2018/01/25,9:20:14,Gerald MacGregor,11704-270,T-Shirt,,18.0,,,,,Bandung - Tiktok,Mark,JNT,
634,635,2018/01/01,1:00:47,Ilario Rottery,64205-220,Oversized T-Shirt,,20.0,,35.0,,,Semarang - Website,Wanokuni,JNT,1.0
635,636,2018/01/25,20:43:45,Nathaniel Kees,54575-127,Oversized T-Shirt,,3.0,,10.0,,,Bogor - Tiktok,Abraham,,2.0
636,637,2018/01/26,5:09:56,Daron Orvis,58118-0261,Sweater,,15.0,,32.0,,,Yogyakarta - Lazada,Elon,JNE,5.0
637,638,2018/01/06,22:45:11,Mechelle Brackstone,33758-001,Mug,,25.0,,,,,Bali - Tiktok,Nami,Shopee Express,2.0
638,639,2018/01/19,5:42:36,Danny Gabel,43063-030,,,15.0,,,,,Jakarta - Whatsapp,Rizal,Wahana,2.0
639,640,2018/01/06,18:52:23,Otto Earey,68084-320,T-Shirt,,23.0,,,,,Bali - Instagram,Elon,POS Indonesia,5.0
640,641,2018/01/22,21:12:07,Tierney Morshead,36987-1369,Parka Jackets,,6.0,,,,,Yogyakarta - Instagram,Wanokuni,POS Indonesia,1.0
641,642,2018/01/27,7:38:51,Wally Trussler,44567-711,Oversized T-Shirt,,4.0,,,,,Bali - Instagram,Rizal,,2.0
642,643,2018/01/18,3:42:13,Arch Giorgielli,48951-2023,T-Shirt,,18.0,,27.0,,,Yogyakarta - Website,Nami,POS Indonesia,1.0
643,644,2018/01/28,21:58:04,Franny Sprowell,59332-001,Oversized T-Shirt,,10.0,,32.0,,,Jakarta - Tokopedia,Rizal,JNE,2.0
644,645,2018/01/20,15:20:15,Eduino Moxted,55154-2872,T-Shirt,,6.0,,,,,Yogyakarta - Website,Elon,Tiki,1.0
645,646,2018/01/27,11:52:12,Ruddy Vedekhov,36800-901,Cargo Pants,,19.0,,7.0,,,Bali - Instagram,Wanokuni,JNT,2.0
646,647,2018/01/28,18:22:02,Ronny Lovemore,43742-0473,T-Shirt,,21.0,,15.0,,,Bogor - Tokopedia,Rizal,POS Indonesia,2.0
647,648,2018/01/12,8:38:56,Teodoor Thorington,53645-1480,Oversized T-Shirt,,,,27.0,,,Tangerang - Lazada,Abraham,JNE,5.0
648,649,2018/01/06,16:52:42,Hyatt Grob,61442-172,Cargo Pants,,16.0,,,,,Bali - Website,Nami,Shopee Express,1.0
649,650,2018/01/17,10:22:03,Roderigo Marusik,0944-8503,T-Shirt,,9.0,,6.0,,,Yogyakarta - Tiktok,Nami,JNT,3.0
650,651,2018/01/19,19:35:02,Loren Prenty,49884-946,Parka Jackets,,19.0,,,,,Bogor - Lazada,Jeff,,2.0
651,652,2018/01/12,21:46:10,Madella Corbally,43742-0214,Parka Jackets,,9.0,,,,,Yogyakarta - Lazada,Jeff,POS Indonesia,3.0
652,653,2018/01/27,11:29:48,Zollie Dawbury,0904-5980,T-Shirt,,,,,,,Bogor - Shopee,Wanokuni,JNT,4.0
653,654,2018/01/13,3:32:46,Vannie Dargavel,0699-7031,T-Shirt,,4.0,,,,,Tangerang - Whatsapp,Wanokuni,JNE,1.0
654,655,2018/01/19,10:34:37,Bree Gwyn,49349-305,Oversized T-Shirt,,15.0,,,,,Bali - Shopee,Abraham,JNT,2.0
655,656,2018/01/25,6:23:06,Cyndy McCafferty,68258-3040,Cargo Pants,,15.0,,19.0,,,Jakarta - Lazada,Elon,JNT,5.0
656,657,2018/01/22,2:18:32,Jerry Antram,0186-0702,Parka Jackets,,13.0,,,,,Semarang - Website,Mark,JNT,3.0
657,658,2018/01/03,17:47:22,Othelia Yerbury,53401-200,Oversized T-Shirt,,8.0,,33.0,,,Semarang - Lazada,Nami,Wahana,2.0
658,659,2018/01/26,21:59:16,Eloise Niemetz,50742-137,Oversized T-Shirt,,10.0,,,,,Tangerang - Shopee,Rizal,Tiki,3.0
659,660,2018/01/24,3:13:48,Raphael Bednell,36987-2169,Oversized T-Shirt,,7.0,,,,,Jakarta - Tiktok,Nami,SiCepat,1.0
660,661,2018/01/08,1:54:43,Liam Ashtonhurst,0615-5552,T-Shirt,,13.0,,19.0,,,Bali - Website,Wanokuni,SiCepat,3.0
661,662,2018/01/27,2:01:15,Lily Mc Grath,63187-089,T-Shirt,,14.0,,10.0,,,Bandung - Whatsapp,Abraham,Shopee Express,4.0
662,663,2018/01/07,7:31:47,Barbara-anne Yurenin,58411-120,T-Shirt,,4.0,,,,,Bandung - Shopee,Elon,SiCepat,2.0
663,664,2018/01/19,18:46:45,Eduino Moxted,36800-232,Oversized T-Shirt,,23.0,,,,,Jakarta - FB Marketplace,Mark,SiCepat,1.0
664,665,2018/01/09,20:12:42,Brewster Marousek,50419-482,Oversized T-Shirt,,7.0,,,,,Depok - Shopee,Rizal,JNT,2.0
665,666,2018/01/19,22:59:08,Gil Sailer,76245-216,,,8.0,,,,,Depok - Lazada,Rizal,POS Indonesia,3.0
666,667,2018/01/28,8:03:46,Terencio Santos,0054-8550,Oversized T-Shirt,,25.0,,,,,Bandung - Shopee,Nami,POS Indonesia,4.0
667,668,2018/01/09,8:54:02,Rosalie Bucktrout,0378-6669,Oversized T-Shirt,,20.0,,,,,Bogor - Tiktok,Rizal,Shopee Express,5.0
668,669,2018/01/13,8:21:21,Simonne Matuska,47335-930,T-Shirt,,21.0,,15.0,,,Bogor - FB Marketplace,Jeff,JNT,5.0
669,670,2018/01/03,3:38:05,Lizette Hartness,68084-346,Oversized T-Shirt,,4.0,,23.0,,,Jakarta - Website,Jeff,SiCepat,5.0
670,671,2018/01/14,4:12:03,Romonda Billion,41268-807,Oversized T-Shirt,,22.0,,7.0,,,Jakarta - Tokopedia,Rizal,,4.0
671,672,2018/01/27,13:28:01,Kath Argyle,43353-495,Parka Jackets,,18.0,,,,,Jakarta - FB Marketplace,Nami,Shopee Express,5.0
672,673,2018/01/16,11:15:38,Emmalynn Antonik,0168-0003,T-Shirt,,5.0,,5.0,,,Bandung - Website,Nami,JNT,4.0
673,674,2018/01/19,16:51:53,Fianna Kilmartin,63739-459,T-Shirt,,10.0,,27.0,,,Yogyakarta - Tokopedia,Abraham,Wahana,5.0
674,675,2018/01/07,5:40:11,Paton Goney,68180-323,,,25.0,,30.0,,,Depok - Tiktok,Mark,SiCepat,
675,676,2018/01/12,22:16:35,Cyrille Emlyn,61919-010,,,12.0,,14.0,,,Depok - FB Marketplace,Abraham,POS Indonesia,5.0
676,677,2018/01/19,15:36:00,Kenyon Nunes Nabarro,49873-060,Oversized T-Shirt,,17.0,,,,,Bali - Tiktok,Abraham,Tiki,1.0
677,678,2018/01/27,1:36:12,Bree Nund,36987-3210,T-Shirt,,23.0,,19.0,,,Yogyakarta - Lazada,Nami,POS Indonesia,1.0
678,679,2018/01/01,3:34:22,Penni Filpo,68180-317,Sweater,,4.0,,,,,Yogyakarta - FB Marketplace,Jeff,JNT,4.0
679,680,2018/01/06,18:10:09,Brena Pietz,55289-934,Oversized T-Shirt,,16.0,,,,,Tangerang - Instagram,Mark,,1.0
680,681,2018/01/30,9:39:09,Carrol Jaszczak,46007-101,T-Shirt,,6.0,,20.0,,,Jakarta - Tiktok,Elon,,1.0
681,682,2018/01/16,13:42:10,Jeramey Ellesworth,36800-138,Oversized T-Shirt,,13.0,,30.0,,,Yogyakarta - Lazada,Rizal,Shopee Express,1.0
682,683,2018/01/18,21:46:49,Melosa Brehat,55312-359,Sweater,,25.0,,,,,Bali - Lazada,Rizal,Wahana,
683,684,2018/01/17,0:43:41,Shelli Sterzaker,23155-118,T-Shirt,,,,,,,Tangerang - Website,Mark,Shopee Express,1.0
684,685,2018/01/29,12:18:22,Dion Sandever,64536-2222,,,1.0,,15.0,,,Bali - Tiktok,Jeff,JNE,5.0
685,686,2018/01/14,18:51:49,Dorice Jarman,55319-072,Mug,,25.0,,21.0,,,Bogor - Lazada,Abraham,SiCepat,5.0
686,687,2018/01/27,6:00:03,Raphael Bednell,36987-3141,Oversized T-Shirt,,24.0,,,,,Bogor - Tokopedia,Wanokuni,Shopee Express,5.0
687,688,2018/01/09,4:29:52,Abbey Tomney,49981-011,Parka Jackets,,7.0,,,,,Bandung - Tiktok,Abraham,SiCepat,4.0
688,689,2018/01/06,18:29:01,Antonietta Mollison,52959-776,,,19.0,,,,,Depok - Lazada,Rizal,POS Indonesia,5.0
689,690,2018/01/01,21:31:33,Marcelia Sewley,21130-504,Oversized T-Shirt,,3.0,,8.0,,,Depok - Lazada,Abraham,SiCepat,1.0
690,691,2018/01/16,16:32:56,Eva Sturney,0185-0146,Sweater,,,,,,,Depok - Tokopedia,Nami,Shopee Express,4.0
691,692,2018/01/09,21:58:06,Darcy Ruggiero,0054-4603,Oversized T-Shirt,,11.0,,11.0,,,Jakarta - FB Marketplace,Abraham,SiCepat,5.0
692,693,2018/01/22,11:31:49,Gayle Pancoast,0026-3787,Sweater,,,,29.0,,,Bali - Whatsapp,Abraham,Tiki,5.0
693,694,2018/01/20,14:04:14,Gipsy Marchetti,75854-305,Topi,,,,,,,Tangerang - Instagram,Abraham,Tiki,2.0
694,695,2018/01/23,8:38:37,Elinore Butting,64942-1052,Sweater,,11.0,,,,,Bali - Lazada,Jeff,SiCepat,5.0
695,696,2018/01/22,10:28:48,Hannah Fortnam,76485-1037,Cargo Pants,,18.0,,,,,Bandung - Lazada,Jeff,Tiki,2.0
696,697,2018/01/08,21:40:32,Valenka Paule,50383-043,Oversized T-Shirt,,10.0,,,,,Tangerang - Whatsapp,Rizal,JNT,5.0
697,698,2018/01/06,14:16:23,Ricoriki Lansly,21695-192,Cargo Pants,,9.0,,16.0,,,Semarang - Tiktok,Abraham,Shopee Express,1.0
698,699,2018/01/12,16:56:17,Wallie Pitcaithly,62670-4789,Oversized T-Shirt,,8.0,,,,,Bali - Lazada,Nami,POS Indonesia,2.0
699,700,2018/01/30,2:03:24,Winne Prine,60512-6281,T-Shirt,,3.0,,,,,Semarang - Website,Nami,,2.0
700,701,2018/01/08,19:15:28,Alyson Biaggioli,61220-001,Oversized T-Shirt,,17.0,,,,,Bogor - Instagram,Wanokuni,SiCepat,1.0
701,702,2018/01/11,17:26:42,Carree Jacques,63981-458,T-Shirt,,14.0,,34.0,,,Depok - Tiktok,Elon,JNE,5.0
702,703,2018/01/13,16:53:14,Bendite Wilhelmy,0143-1264,Oversized T-Shirt,,22.0,,,,,Bogor - Website,Mark,POS Indonesia,1.0
703,704,2018/01/25,18:25:09,Brena Pietz,66336-932,T-Shirt,,,,24.0,,,Jakarta - Tokopedia,Wanokuni,Shopee Express,5.0
704,705,2018/01/14,12:47:00,Lula Stranaghan,51079-409,Topi,,,,10.0,,,Tangerang - Website,Rizal,JNE,5.0
705,706,2018/01/21,16:40:19,Evelyn Whitehouse,24839-343,,,23.0,,,,,,Nami,JNT,1.0
706,707,2018/01/26,4:37:01,Bambie Aizikov,43857-0295,Oversized T-Shirt,,14.0,,19.0,,,Bali - Website,Mark,JNT,
707,708,2018/01/10,11:49:58,Danya Theuss,59762-0250,Cargo Pants,,5.0,,,,,Bandung - FB Marketplace,Rizal,Wahana,
708,709,2018/01/24,5:24:48,Danya Theuss,46414-7777,T-Shirt,,,,,,,Bogor - Tiktok,Nami,POS Indonesia,2.0
709,710,2018/01/05,19:40:30,Gerianne MacKean,0615-6501,Oversized T-Shirt,,13.0,,,,,Tangerang - Website,Elon,,2.0
710,711,2018/01/12,0:15:56,Astra Inkin,49349-540,Parka Jackets,,8.0,,11.0,,,Jakarta - Instagram,Rizal,JNE,4.0
711,712,2018/01/29,15:01:41,Mae Kerry,43742-0223,Oversized T-Shirt,,10.0,,,,,Bandung - Website,Rizal,POS Indonesia,3.0
712,713,2018/01/16,18:06:49,Blisse Perrottet,41167-1603,Oversized T-Shirt,,7.0,,,,,Bandung - Instagram,Nami,Shopee Express,3.0
713,714,2018/01/17,8:32:28,Moshe Well,66096-686,T-Shirt,,12.0,,14.0,,,Bali - Tokopedia,Wanokuni,,1.0
714,715,2018/01/05,16:27:45,Clim Antat,55289-909,Oversized T-Shirt,,12.0,,,,,,Mark,JNT,2.0
715,716,2018/01/23,16:36:58,Tish Tourmell,51012-002,T-Shirt,,10.0,,,,,Bali - Instagram,Rizal,,
716,717,2018/01/15,0:59:47,Vick Clackers,21695-584,T-Shirt,,3.0,,,,,Jakarta - Tiktok,Elon,Tiki,5.0
717,718,2018/01/25,7:09:27,Astra Vina,31722-209,T-Shirt,,24.0,,,,,Bali - Tokopedia,Nami,JNT,3.0
718,719,2018/01/09,21:53:51,Maren Keough,11822-0900,Oversized T-Shirt,,6.0,,7.0,,,Bandung - Whatsapp,Elon,Tiki,5.0
719,720,2018/01/23,1:44:41,Rosanna Rappoport,49999-182,Parka Jackets,,23.0,,14.0,,,Semarang - Lazada,Nami,JNE,3.0
720,721,2018/01/06,20:39:04,Halie Tudor,24236-271,Oversized T-Shirt,,15.0,,,,,Yogyakarta - Tokopedia,Mark,JNE,2.0
721,722,2018/01/21,9:01:47,Nolan Redley,43269-615,Oversized T-Shirt,,10.0,,,,,Semarang - Instagram,Wanokuni,SiCepat,4.0
722,723,2018/01/09,18:01:18,Dyanna Emmanuel,52862-304,T-Shirt,,,,29.0,,,Bali - Website,Jeff,Tiki,5.0
723,724,2018/01/22,22:47:36,Adolphe Dyne,10096-0223,Parka Jackets,,23.0,,35.0,,,,Mark,SiCepat,1.0
724,725,2018/01/30,6:30:43,Eugenie Jewis,43269-674,Oversized T-Shirt,,12.0,,,,,Yogyakarta - Website,Nami,SiCepat,5.0
725,726,2018/01/23,15:34:19,Tymon Heber,57691-112,Oversized T-Shirt,,2.0,,,,,Bogor - Shopee,Wanokuni,,2.0
726,727,2018/01/17,15:11:38,Erwin Morratt,62175-151,,,16.0,,,,,Bali - Instagram,Jeff,JNE,4.0
727,728,2018/01/01,21:10:52,Shelli Sterzaker,65113-2432,Oversized T-Shirt,,4.0,,,,,Bali - Lazada,Mark,SiCepat,1.0
728,729,2018/01/15,23:40:55,Klarika Birdwistle,0245-0243,Oversized T-Shirt,,19.0,,,,,Semarang - Tokopedia,Abraham,Wahana,5.0
729,730,2018/01/21,23:17:47,Darb Brumfitt,45861-005,T-Shirt,,9.0,,5.0,,,Bandung - Tiktok,Jeff,JNT,4.0
730,731,2018/01/13,16:31:38,Annice Gurnay,54505-331,Oversized T-Shirt,,9.0,,,,,Yogyakarta - Lazada,Elon,JNE,3.0
731,732,2018/01/21,18:13:31,Grete Probyn,0085-4352,Parka Jackets,,20.0,,,,,Yogyakarta - Whatsapp,Jeff,JNE,1.0
732,733,2018/01/13,22:49:44,Shelby O'Concannon,64117-299,Parka Jackets,,12.0,,,,,Yogyakarta - FB Marketplace,Elon,Shopee Express,5.0
733,734,2018/01/16,10:28:01,Lindsy Tordoff,60429-340,,,23.0,,,,,Bali - FB Marketplace,Rizal,Shopee Express,2.0
734,735,2018/01/20,14:40:10,Concordia Heddy,10671-010,T-Shirt,,19.0,,32.0,,,Bali - Website,Mark,POS Indonesia,5.0
735,736,2018/01/27,15:15:40,Skelly Louiset,30142-517,T-Shirt,,15.0,,,,,Tangerang - Tokopedia,Elon,Tiki,3.0
736,737,2018/01/13,23:18:09,Marylynne Oguz,67345-0703,Sweater,,19.0,,21.0,,,Jakarta - Tiktok,Nami,SiCepat,5.0
737,738,2018/01/03,20:47:00,Nanni Guinn,55154-4567,,,6.0,,5.0,,,Jakarta - FB Marketplace,Mark,Shopee Express,1.0
738,739,2018/01/17,18:24:18,Marla Buncombe,0527-1351,Oversized T-Shirt,,9.0,,,,,,Elon,Shopee Express,5.0
739,740,2018/01/13,2:36:46,Paton Goney,53808-0862,Sweater,,22.0,,23.0,,,Jakarta - Tokopedia,Abraham,Wahana,1.0
740,741,2018/01/03,16:18:24,Ruprecht Osment,51660-423,Oversized T-Shirt,,22.0,,23.0,,,Jakarta - FB Marketplace,Mark,Wahana,2.0
741,742,2018/01/10,14:08:07,Malva Daniel,51009-206,Parka Jackets,,,,19.0,,,Bogor - Whatsapp,Rizal,Shopee Express,1.0
742,743,2018/01/25,4:09:02,Larisa Island,98132-147,Oversized T-Shirt,,15.0,,,,,Bali - Tiktok,Wanokuni,JNE,3.0
743,744,2018/01/22,10:46:00,Skelly Louiset,50436-3960,Oversized T-Shirt,,18.0,,,,,Bali - Lazada,Abraham,JNT,1.0
744,745,2018/01/20,5:22:32,Annice Gurnay,10157-1070,T-Shirt,,10.0,,6.0,,,Bogor - Tokopedia,Abraham,JNT,1.0
745,746,2018/01/30,18:51:35,Manon Barnwall,58118-0351,Cargo Pants,,24.0,,,,,,Elon,Wahana,3.0
746,747,2018/01/17,7:29:43,Dore Ferber,68084-305,Oversized T-Shirt,,18.0,,,,,Tangerang - Website,Rizal,Tiki,3.0
747,748,2018/01/12,10:59:52,Jemmie Dudleston,68828-057,Oversized T-Shirt,,11.0,,,,,Bali - Whatsapp,Jeff,Shopee Express,2.0
748,749,2018/01/06,6:05:54,Penny Bercevelo,24236-776,T-Shirt,,3.0,,18.0,,,Tangerang - Shopee,Mark,Shopee Express,5.0
749,750,2018/01/10,8:41:52,Ailey Wallbutton,53808-0988,T-Shirt,,14.0,,,,,Bandung - FB Marketplace,Wanokuni,JNE,1.0
750,751,2018/01/16,0:52:55,Aileen Jeannon,0268-6308,Topi,,23.0,,27.0,,,Tangerang - Tokopedia,Wanokuni,,3.0
751,752,2018/01/27,1:13:25,Corny Rodders,21695-370,Oversized T-Shirt,,17.0,,,,,Yogyakarta - Instagram,Abraham,Wahana,1.0
752,753,2018/01/22,0:48:51,Jacinda Rawsthorne,60512-6346,,,6.0,,,,,Semarang - Lazada,Elon,JNE,1.0
753,754,2018/01/04,16:30:27,Melinda Yetton,54569-5167,Mug,,4.0,,,,,Bandung - Tokopedia,Jeff,Shopee Express,1.0
754,755,2018/01/11,11:25:59,Matti Kneale,67457-523,T-Shirt,,17.0,,,,,Bogor - Lazada,Elon,JNE,5.0
755,756,2018/01/23,8:47:21,Cyndy McCafferty,76439-103,T-Shirt,,24.0,,,,,Bandung - Lazada,Abraham,POS Indonesia,2.0
756,757,2018/01/08,7:36:53,Bunny Crepel,65113-8503,Mug,,9.0,,,,,Semarang - FB Marketplace,Jeff,,1.0
757,758,2018/01/14,11:46:18,Doro Cowdry,43386-622,Oversized T-Shirt,,14.0,,15.0,,,Yogyakarta - Tiktok,Elon,Shopee Express,2.0
758,759,2018/01/09,15:15:58,Timmie McCloch,50436-6650,Cargo Pants,,4.0,,7.0,,,Tangerang - Website,Abraham,Tiki,
759,760,2018/01/12,2:40:15,Vick Clackers,48951-3013,T-Shirt,,10.0,,25.0,,,Yogyakarta - Shopee,Rizal,JNE,5.0
760,761,2018/01/06,9:50:36,Ulrikaumeko Dunican,43419-023,Cargo Pants,,24.0,,19.0,,,Bandung - Shopee,Nami,JNT,5.0
761,762,2018/01/27,0:21:56,Burk Darco,0781-9165,T-Shirt,,8.0,,,,,Tangerang - Tokopedia,Rizal,Wahana,
762,763,2018/01/29,9:13:39,Quillan Gooderridge,13340-5624,T-Shirt,,20.0,,21.0,,,Yogyakarta - Tiktok,Wanokuni,SiCepat,4.0
763,764,2018/01/21,15:28:07,Audy Pharo,59779-530,Parka Jackets,,1.0,,,,,,Nami,SiCepat,4.0
764,765,2018/01/12,21:27:28,Erminia Gavaghan,13537-427,Oversized T-Shirt,,9.0,,,,,Bali - Instagram,Nami,Wahana,5.0
765,766,2018/01/30,7:49:16,Grete Probyn,64616-098,T-Shirt,,13.0,,,,,Bogor - Whatsapp,Wanokuni,Wahana,2.0
766,767,2018/01/02,11:46:22,Winne Prine,36800-959,Parka Jackets,,3.0,,,,,Depok - Tokopedia,Jeff,JNE,3.0
767,768,2018/01/25,2:03:22,Shandie Halshaw,0615-7661,Parka Jackets,,19.0,,,,,Jakarta - Lazada,Abraham,SiCepat,
768,769,2018/01/23,0:12:33,Constantia Payley,11822-0916,T-Shirt,,5.0,,,,,Depok - Tokopedia,Elon,JNE,2.0
769,770,2018/01/01,15:37:41,Ilario Rottery,55154-9360,T-Shirt,,10.0,,,,,Semarang - Lazada,Elon,Wahana,4.0
770,771,2018/01/28,16:40:22,Keslie McCurrie,23155-143,Parka Jackets,,12.0,,32.0,,,Depok - Tiktok,Nami,Tiki,1.0
771,772,2018/01/23,20:28:24,Loren Prenty,55289-883,Mug,,13.0,,,,,Jakarta - Instagram,Rizal,SiCepat,2.0
772,773,2018/01/09,7:25:12,Myrtle Albertson,53808-0757,T-Shirt,,16.0,,,,,Bali - Lazada,Rizal,Tiki,4.0
773,774,2018/01/02,2:52:03,Anette Folbige,67544-404,Cargo Pants,,24.0,,,,,Bandung - Whatsapp,Wanokuni,POS Indonesia,4.0
774,775,2018/01/27,8:24:27,Marla Buncombe,55289-075,Parka Jackets,,3.0,,,,,Bogor - Tiktok,Rizal,Wahana,2.0
775,776,2018/01/14,2:47:35,Adolphe Dyne,17478-741,Oversized T-Shirt,,6.0,,32.0,,,Tangerang - Shopee,Jeff,JNT,3.0
776,777,2018/01/01,8:20:48,Beitris Havile,0228-3481,Parka Jackets,,25.0,,,,,Tangerang - Website,Wanokuni,Shopee Express,5.0
777,778,2018/01/14,11:27:57,Rikki Libby,65133-150,Mug,,18.0,,20.0,,,Tangerang - Instagram,Abraham,POS Indonesia,3.0
778,779,2018/01/23,8:31:18,Bryan Tenant,63783-009,T-Shirt,,11.0,,11.0,,,Depok - FB Marketplace,Wanokuni,Shopee Express,3.0
779,780,2018/01/14,10:30:02,Charmine Mindenhall,76354-205,Cargo Pants,,5.0,,,,,Bandung - FB Marketplace,Elon,,1.0
780,781,2018/01/22,13:22:56,Tait Downes,54868-5901,T-Shirt,,19.0,,,,,Tangerang - Lazada,Rizal,Shopee Express,1.0
781,782,2018/01/02,21:21:15,Karie Coupe,24839-346,T-Shirt,,14.0,,31.0,,,Tangerang - Instagram,Mark,Shopee Express,5.0
782,783,2018/01/18,9:14:39,Chelsae Faughnan,76049-008,Parka Jackets,,18.0,,,,,Tangerang - Whatsapp,Jeff,,5.0
783,784,2018/01/08,14:33:44,Jdavie Postles,42903-001,T-Shirt,,23.0,,,,,Semarang - Shopee,Nami,Wahana,1.0
784,785,2018/01/28,9:32:13,Tracey Haskew,0185-0047,Parka Jackets,,12.0,,,,,Jakarta - Tokopedia,Jeff,POS Indonesia,1.0
785,786,2018/01/24,7:26:51,Robbie Yearron,64942-0893,Parka Jackets,,10.0,,,,,Yogyakarta - Instagram,Jeff,POS Indonesia,3.0
786,787,2018/01/23,15:52:10,Anselma Volage,35356-942,Parka Jackets,,9.0,,,,,Bogor - Instagram,Jeff,Tiki,4.0
787,788,2018/01/01,18:07:37,Penrod Conklin,0185-4416,Topi,,15.0,,,,,Bandung - Tiktok,Elon,JNE,3.0
